Name,Year,Type
Device 0,2004,Type 19
Device 1,1987,Type 2
Device 2,1982,Type 11
Device 3,1995,Type 5
Device 4,1995,Type 8
Device 5,2002,Type 15
Device 6,1996,Type 18
Device 7,1981,Type 13
Device 8,2006,Type 10
Device 9,1990,Type 18
Device 10,2005,Type 15
Device 11,2003,Type 10
Device 12,2002,Type 7
Device 13,2001,Type 14
Device 14,1991,Type 8
Device 15,1980,Type 7
Device 16,2018,Type 8
Device 17,1987,Type 8
Device 18,1981,Type 18
Device 19,2018,Type 17
Device 20,1990,Type 17
Device 21,2008,Type 6
Device 22,2011,Type 18
Device 23,1983,Type 3
Device 24,2016,Type 7
Device 25,2014,Type 5
Device 26,1988,Type 17
Device 27,1992,Type 6
Device 28,1998,Type 2
Device 29,1985,Type 19
Device 30,1996,Type 11
Device 31,1986,Type 9
Device 32,2005,Type 10
Device 33,1984,Type 19
Device 34,2015,Type 7
Device 35,2016,Type 3
Device 36,2011,Type 14
Device 37,2009,Type 7
Device 38,1982,Type 6
Device 39,2008,Type 18
Device 40,1993,Type 5
Device 41,1984,Type 3
Device 42,2007,Type 9
Device 43,2018,Type 14
Device 44,2001,Type 2
Device 45,1993,Type 18
Device 46,1998,Type 11
Device 47,2012,Type 14
Device 48,1987,Type 10
Device 49,2006,Type 4
Device 50,2006,Type 15
Device 51,1988,Type 2
Device 52,2011,Type 12
Device 53,1996,Type 4
Device 54,2016,Type 17
Device 55,2007,Type 18
Device 56,2016,Type 5
Device 57,2010,Type 12
Device 58,2015,Type 4
Device 59,1989,Type 14
Device 60,1983,Type 14
Device 61,1993,Type 4
Device 62,2010,Type 18
Device 63,1983,Type 11
Device 64,1996,Type 7
Device 65,1989,Type 14
Device 66,2005,Type 18
Device 67,1984,Type 16
Device 68,1987,Type 1
Device 69,1981,Type 16
Device 70,2014,Type 16
Device 71,2004,Type 4
Device 72,2008,Type 19
Device 73,1986,Type 17
Device 74,2001,Type 19
Device 75,2006,Type 13
Device 76,1996,Type 6
Device 77,1995,Type 17
Device 78,2000,Type 1
Device 79,2004,Type 15
Device 80,1980,Type 1
Device 81,2015,Type 14
Device 82,1980,Type 19
Device 83,1991,Type 16
Device 84,1994,Type 9
Device 85,1996,Type 3
Device 86,1996,Type 3
Device 87,1997,Type 7
Device 88,1980,Type 17
Device 89,1984,Type 4
Device 90,1989,Type 8
Device 91,1984,Type 2
Device 92,2007,Type 19
Device 93,2007,Type 13
Device 94,1987,Type 2
Device 95,1980,Type 9
Device 96,1988,Type 18
Device 97,1996,Type 10
Device 98,1999,Type 8
Device 99,2016,Type 12
Device 100,1992,Type 4
Device 101,1982,Type 15
Device 102,2010,Type 2
Device 103,1996,Type 12
Device 104,1984,Type 6
Device 105,2013,Type 12
Device 106,2004,Type 8
Device 107,2013,Type 4
Device 108,2007,Type 6
Device 109,2012,Type 7
Device 110,2013,Type 18
Device 111,1983,Type 3
Device 112,1996,Type 1
Device 113,2017,Type 8
Device 114,1988,Type 10
Device 115,2017,Type 9
Device 116,1989,Type 15
Device 117,2010,Type 14
Device 118,1985,Type 4
Device 119,1980,Type 18
Device 120,1983,Type 6
Device 121,2004,Type 11
Device 122,1993,Type 8
Device 123,1989,Type 14
Device 124,1987,Type 17
Device 125,2015,Type 6
Device 126,2009,Type 3
Device 127,2009,Type 4
Device 128,2002,Type 19
Device 129,1994,Type 2
Device 130,2011,Type 4
Device 131,1992,Type 3
Device 132,1996,Type 13
Device 133,1999,Type 17
Device 134,2008,Type 4
Device 135,2013,Type 13
Device 136,2005,Type 2
Device 137,1999,Type 10
Device 138,1996,Type 8
Device 139,1983,Type 12
Device 140,1993,Type 18
Device 141,2009,Type 13
Device 142,1988,Type 11
Device 143,2018,Type 3
Device 144,2017,Type 18
Device 145,1994,Type 16
Device 146,2018,Type 16
Device 147,1984,Type 9
Device 148,1981,Type 7
Device 149,1984,Type 15
Device 150,2010,Type 5
Device 151,1995,Type 19
Device 152,2009,Type 2
Device 153,2002,Type 2
Device 154,2016,Type 2
Device 155,2013,Type 18
Device 156,2002,Type 4
Device 157,1986,Type 2
Device 158,1984,Type 7
Device 159,2009,Type 3
Device 160,1986,Type 19
Device 161,2010,Type 1
Device 162,1990,Type 6
Device 163,1997,Type 8
Device 164,1999,Type 8
Device 165,1992,Type 2
Device 166,2003,Type 19
Device 167,1980,Type 10
Device 168,2015,Type 15
Device 169,2010,Type 19
Device 170,1984,Type 17
Device 171,2004,Type 9
Device 172,2005,Type 6
Device 173,2001,Type 4
Device 174,1983,Type 9
Device 175,1998,Type 4
Device 176,2017,Type 6
Device 177,2013,Type 1
Device 178,2018,Type 2
Device 179,2016,Type 3
Device 180,2002,Type 11
Device 181,1993,Type 19
Device 182,1996,Type 4
Device 183,1987,Type 18
Device 184,1992,Type 6
Device 185,1989,Type 11
Device 186,1987,Type 8
Device 187,2013,Type 3
Device 188,1986,Type 16
Device 189,2016,Type 11
Device 190,1986,Type 7
Device 191,1984,Type 18
Device 192,1997,Type 12
Device 193,2009,Type 17
Device 194,2010,Type 10
Device 195,1999,Type 12
Device 196,1985,Type 16
Device 197,1986,Type 19
Device 198,2007,Type 3
Device 199,1989,Type 18
Device 200,1997,Type 13
Device 201,2015,Type 10
Device 202,2015,Type 15
Device 203,1981,Type 2
Device 204,1984,Type 19
Device 205,1990,Type 5
Device 206,2000,Type 5
Device 207,1995,Type 7
Device 208,1993,Type 19
Device 209,1991,Type 14
Device 210,1995,Type 13
Device 211,2015,Type 5
Device 212,1993,Type 11
Device 213,1991,Type 8
Device 214,2005,Type 10
Device 215,2014,Type 3
Device 216,1995,Type 14
Device 217,2015,Type 6
Device 218,1987,Type 14
Device 219,1982,Type 7
Device 220,1982,Type 1
Device 221,2006,Type 11
Device 222,2014,Type 16
Device 223,2005,Type 17
Device 224,1985,Type 5
Device 225,2002,Type 5
Device 226,1980,Type 13
Device 227,2014,Type 1
Device 228,1984,Type 4
Device 229,2007,Type 10
Device 230,1991,Type 11
Device 231,2008,Type 3
Device 232,2016,Type 16
Device 233,1988,Type 8
Device 234,1995,Type 19
Device 235,1997,Type 10
Device 236,2010,Type 5
Device 237,2005,Type 5
Device 238,2011,Type 19
Device 239,1986,Type 3
Device 240,1986,Type 7
Device 241,1980,Type 1
Device 242,2004,Type 4
Device 243,1981,Type 9
Device 244,2004,Type 18
Device 245,1996,Type 4
Device 246,1980,Type 18
Device 247,2010,Type 11
Device 248,1998,Type 18
Device 249,1990,Type 14
Device 250,1999,Type 5
Device 251,2018,Type 14
Device 252,2008,Type 14
Device 253,2014,Type 7
Device 254,2009,Type 17
Device 255,2017,Type 12
Device 256,1981,Type 19
Device 257,1994,Type 6
Device 258,2004,Type 16
Device 259,1995,Type 17
Device 260,2017,Type 8
Device 261,2014,Type 10
Device 262,1982,Type 7
Device 263,1985,Type 9
Device 264,2014,Type 12
Device 265,1988,Type 16
Device 266,2016,Type 1
Device 267,2011,Type 10
Device 268,1986,Type 3
Device 269,1998,Type 18
Device 270,1984,Type 8
Device 271,2003,Type 18
Device 272,1986,Type 5
Device 273,2000,Type 2
Device 274,1998,Type 10
Device 275,2001,Type 15
Device 276,1983,Type 19
Device 277,1999,Type 11
Device 278,1992,Type 5
Device 279,2006,Type 14
Device 280,2001,Type 4
Device 281,2010,Type 11
Device 282,1981,Type 17
Device 283,2003,Type 3
Device 284,2004,Type 18
Device 285,1997,Type 19
Device 286,1985,Type 5
Device 287,2011,Type 10
Device 288,1980,Type 10
Device 289,2018,Type 16
Device 290,2004,Type 2
Device 291,2014,Type 6
Device 292,2008,Type 13
Device 293,2008,Type 6
Device 294,2001,Type 6
Device 295,2007,Type 13
Device 296,2005,Type 10
Device 297,1982,Type 3
Device 298,2011,Type 4
Device 299,1989,Type 18
Device 300,2018,Type 4
Device 301,2015,Type 12
Device 302,1988,Type 6
Device 303,1997,Type 15
Device 304,1981,Type 7
Device 305,2002,Type 6
Device 306,2017,Type 14
Device 307,2004,Type 12
Device 308,1992,Type 6
Device 309,2005,Type 6
Device 310,2006,Type 1
Device 311,2012,Type 13
Device 312,1991,Type 19
Device 313,1987,Type 12
Device 314,1997,Type 12
Device 315,1997,Type 11
Device 316,1990,Type 8
Device 317,1985,Type 2
Device 318,1994,Type 17
Device 319,2006,Type 16
Device 320,1990,Type 13
Device 321,2014,Type 17
Device 322,1992,Type 3
Device 323,1996,Type 1
Device 324,1996,Type 6
Device 325,2005,Type 6
Device 326,1995,Type 5
Device 327,2011,Type 13
Device 328,1997,Type 13
Device 329,1998,Type 11
Device 330,1986,Type 6
Device 331,2011,Type 12
Device 332,2008,Type 17
Device 333,2013,Type 19
Device 334,1981,Type 11
Device 335,2003,Type 16
Device 336,1994,Type 11
Device 337,1996,Type 9
Device 338,2016,Type 13
Device 339,2011,Type 18
Device 340,2012,Type 9
Device 341,2008,Type 2
Device 342,2003,Type 12
Device 343,2012,Type 16
Device 344,1981,Type 11
Device 345,1982,Type 15
Device 346,1981,Type 18
Device 347,1990,Type 18
Device 348,2015,Type 14
Device 349,2016,Type 17
Device 350,1991,Type 12
Device 351,1994,Type 11
Device 352,2018,Type 18
Device 353,1994,Type 3
Device 354,1995,Type 18
Device 355,2001,Type 1
Device 356,1993,Type 19
Device 357,1998,Type 15
Device 358,1993,Type 5
Device 359,1993,Type 14
Device 360,1988,Type 2
Device 361,1998,Type 16
Device 362,2010,Type 1
Device 363,1980,Type 9
Device 364,2002,Type 14
Device 365,2010,Type 16
Device 366,1997,Type 4
Device 367,1992,Type 5
Device 368,2009,Type 1
Device 369,1981,Type 3
Device 370,2005,Type 8
Device 371,1992,Type 9
Device 372,1995,Type 6
Device 373,2000,Type 16
Device 374,1998,Type 19
Device 375,1994,Type 2
Device 376,2000,Type 17
Device 377,2012,Type 12
Device 378,2010,Type 7
Device 379,1987,Type 10
Device 380,1980,Type 15
Device 381,2001,Type 13
Device 382,1995,Type 4
Device 383,1994,Type 8
Device 384,2004,Type 5
Device 385,2018,Type 4
Device 386,1994,Type 18
Device 387,1989,Type 13
Device 388,1993,Type 4
Device 389,2010,Type 2
Device 390,2010,Type 6
Device 391,1994,Type 17
Device 392,1984,Type 13
Device 393,2011,Type 8
Device 394,1994,Type 9
Device 395,2013,Type 11
Device 396,1980,Type 17
Device 397,1988,Type 17
Device 398,2017,Type 15
Device 399,1998,Type 19
Device 400,2002,Type 14
Device 401,2014,Type 8
Device 402,1993,Type 16
Device 403,1988,Type 19
Device 404,1984,Type 10
Device 405,1985,Type 8
Device 406,2009,Type 10
Device 407,2006,Type 18
Device 408,2017,Type 11
Device 409,1982,Type 6
Device 410,1982,Type 3
Device 411,1980,Type 18
Device 412,1994,Type 13
Device 413,2005,Type 5
Device 414,1994,Type 6
Device 415,2007,Type 17
Device 416,2014,Type 12
Device 417,1999,Type 3
Device 418,2013,Type 18
Device 419,2004,Type 16
Device 420,2017,Type 4
Device 421,2011,Type 9
Device 422,2010,Type 2
Device 423,2005,Type 3
Device 424,2017,Type 15
Device 425,1992,Type 13
Device 426,2003,Type 3
Device 427,2007,Type 3
Device 428,1996,Type 16
Device 429,1986,Type 2
Device 430,1993,Type 2
Device 431,2003,Type 18
Device 432,2000,Type 19
Device 433,2001,Type 8
Device 434,2009,Type 13
Device 435,1989,Type 15
Device 436,2011,Type 17
Device 437,1985,Type 19
Device 438,1983,Type 7
Device 439,2003,Type 2
Device 440,2013,Type 8
Device 441,1996,Type 3
Device 442,1988,Type 16
Device 443,2016,Type 19
Device 444,1996,Type 12
Device 445,1994,Type 8
Device 446,1982,Type 3
Device 447,1996,Type 13
Device 448,1990,Type 3
Device 449,1994,Type 16
Device 450,1998,Type 15
Device 451,1985,Type 18
Device 452,1989,Type 2
Device 453,1988,Type 3
Device 454,2002,Type 12
Device 455,2010,Type 10
Device 456,1991,Type 7
Device 457,2009,Type 10
Device 458,1983,Type 12
Device 459,1991,Type 3
Device 460,2009,Type 7
Device 461,1985,Type 5
Device 462,2011,Type 4
Device 463,1983,Type 19
Device 464,1980,Type 5
Device 465,1993,Type 17
Device 466,2001,Type 4
Device 467,2002,Type 3
Device 468,2013,Type 4
Device 469,1980,Type 14
Device 470,1996,Type 10
Device 471,1996,Type 1
Device 472,2008,Type 1
Device 473,1989,Type 5
Device 474,2016,Type 18
Device 475,1985,Type 4
Device 476,2014,Type 5
Device 477,1999,Type 18
Device 478,1984,Type 10
Device 479,1989,Type 10
